event_name,f_1,f_2,title_fight,weight_class,gender,fight_url,event_url
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja,Steve Erceg,T,Flyweight,M,http://ufcstats.com/fight-details/3f419fce8ba8aa0e,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Jonathan Martinez,Jose Aldo,F,Bantamweight,M,http://ufcstats.com/fight-details/b3d88eaea611a4a8,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Anthony Smith,Vitor Petrino,F,Light Heavyweight,M,http://ufcstats.com/fight-details/a8718a3419a11e15,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Michel Pereira,Ihor Potieria,F,Middleweight,M,http://ufcstats.com/fight-details/3e74caa9fff4a5eb,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Paul Craig,Caio Borralho,F,Middleweight,M,http://ufcstats.com/fight-details/2db0998b24c11ea0,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Jack Shore,Joanderson Brito,F,Featherweight,M,http://ufcstats.com/fight-details/c456b1950208e0b2,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz,Iasmin Lucindo,F,Women's Strawweight,F,http://ufcstats.com/fight-details/c84a29f426f1aab7,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Elves Brener,Myktybek Orolbai,F,Lightweight,M,http://ufcstats.com/fight-details/8a121f9c48f3773c,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Jean Silva,William Gomis,F,Featherweight,M,http://ufcstats.com/fight-details/2cf3b88eed578196,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Joaquim Silva,Drakkar Klose,F,Lightweight,M,http://ufcstats.com/fight-details/2faf5b8d708f8e94,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Mauricio Ruffy,Jamie Mullarkey,F,Lightweight,M,http://ufcstats.com/fight-details/b9de363e6b406853,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Dione Barbosa,Ernesta Kareckaite,F,Women's Flyweight,F,http://ufcstats.com/fight-details/4661e9ca9354021e,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Ismael Bonfim,Vinc Pichel,F,Lightweight,M,http://ufcstats.com/fight-details/89db7aca37b87711,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC 301: Pantoja vs. Erceg,Alessandro Costa,Kevin Borjas,F,Flyweight,M,http://ufcstats.com/fight-details/fe0f1b418e6d3ecb,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis,Rodrigo Nascimento,F,Heavyweight,M,http://ufcstats.com/fight-details/6f0f84075fa1a4b0,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield,Carlos Ulberg,F,Light Heavyweight,M,http://ufcstats.com/fight-details/a049c12f43914449,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres,Sean Woodson,F,Featherweight,M,http://ufcstats.com/fight-details/8aa07b6cc40f0cb2,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta,Robelis Despaigne,F,Heavyweight,M,http://ufcstats.com/fight-details/e98eb6de29c62c9c,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper,Viacheslav Borshchev,F,Lightweight,M,http://ufcstats.com/fight-details/420a5e3b4010ebef,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney,Esteban Ribovics,F,Lightweight,M,http://ufcstats.com/fight-details/8d9bcbb48888a5a3,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci,Tecia Pennington,F,Women's Strawweight,F,http://ufcstats.com/fight-details/13d8d5cd83e5b57e,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Billy Goff,Trey Waters,F,Welterweight,M,http://ufcstats.com/fight-details/ec5d705232983b87,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson,Jake Hadley,F,Flyweight,M,http://ufcstats.com/fight-details/4b45f190122a1ce1,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,Jared Gooden,Kevin Jousset,F,Welterweight,M,http://ufcstats.com/fight-details/b3e5f28c57aed4f8,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich,Veronica Hardy,F,Women's Flyweight,F,http://ufcstats.com/fight-details/ccf3b6eda4c2a564,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC Fight Night: Barboza vs. Murphy,Edson Barboza,Lerone Murphy,F,Featherweight,M,http://ufcstats.com/fight-details/17aa636aa98678d3,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Khaos Williams,Carlston Harris,F,Welterweight,M,http://ufcstats.com/fight-details/85ddb65429a9d517,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Oumar Sy,Rodolfo Bellato,F,Light Heavyweight,M,http://ufcstats.com/fight-details/fc4cb2e170d11063,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Adrian Yanez,Vinicius Salvador,F,Bantamweight,M,http://ufcstats.com/fight-details/5dcade01fc840da6,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Luana Pinheiro,Angela Hill,F,Women's Strawweight,F,http://ufcstats.com/fight-details/2a43df4cc047a28b,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo,Ramiz Brahimaj,F,Welterweight,M,http://ufcstats.com/fight-details/20220ace492af368,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Abus Magomedov,Warlley Alves,F,Middleweight,M,http://ufcstats.com/fight-details/fc2bdd67c1a056a4,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Barboza vs. Murphy,Victor Martinez,Tom Nolan,F,Lightweight,M,http://ufcstats.com/fight-details/b5df5a0a0bda9256,http://ufcstats.com/event-details/46baf0f57edfa4df
